<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.28	185.49	186.44	180.85	183.09	62902	0	1
2024.07.29	183.10	193.59	182.55	183.19	99966	0	1
2024.07.30	183.08	184.29	174.93	179.18	83933	0	1
2024.07.31	179.17	184.10	170.77	173.10	89093	0	1
2024.08.01	173.12	173.20	157.27	167.16	67017	0	11
2024.08.02	167.16	168.97	149.32	152.42	73272	0	12
2024.08.03	152.42	153.67	139.39	142.69	70593	0	11
2024.08.04	142.69	145.79	130.61	140.51	64713	0	12
2024.08.05	140.51	140.64	108.85	132.26	138598	0	23
2024.08.06	132.26	149.39	128.90	145.04	89585	0	19
2024.08.07	145.04	154.87	141.96	145.51	86862	0	18
2024.08.08	145.55	162.49	141.11	161.12	78941	0	12
2024.08.09	161.12	163.42	150.60	155.55	100740	0	12
2024.08.10	155.55	158.30	152.33	154.62	46474	0	11
2024.08.11	154.62	157.79	141.00	142.08	60469	0	11
2024.08.12	142.08	150.72	140.85	144.01	75663	0	12
2024.08.13	144.01	149.67	142.67	147.06	55868	0	9
2024.08.14	147.04	151.98	142.03	144.22	66654	0	9
2024.08.15	144.23	147.39	137.54	143.60	88949	0	11
2024.08.16	143.59	144.77	135.86	139.51	70511	0	4
2024.08.17	139.51	141.78	137.49	141.44	102876	0	4
2024.08.18	141.44	147.31	140.46	144.47	120995	0	4
2024.08.19	144.47	146.14	140.24	143.48	145407	0	4
2024.08.20	143.48	148.70	140.87	143.15	137869	0	4
2024.08.21	143.14	144.27	138.68	142.81	129836	0	4
2024.08.22	142.81	144.79	140.48	142.98	104344	0	4
2024.08.23	142.98	153.61	142.44	151.77	82209	0	4
2024.08.24	151.77	162.22	151.77	158.99	356976	0	4
2024.08.25	158.99	161.72	155.18	160.40	317143	0	4
2024.08.26	160.41	161.75	155.33	157.18	83829	0	5
2024.08.27	157.20	159.46	140.41	147.17	78498	0	4
2024.08.28	147.17	148.69	140.45	143.45	398814	0	4
2024.08.29	143.44	147.25	137.92	139.71	387004	0	4
2024.08.30	139.71	141.02	131.99	137.59	399444	0	4
2024.08.31	137.59	139.13	134.37	135.30	277548	0	3
2024.09.01	135.30	136.03	127.77	128.99	378196	0	4
2024.09.02	128.98	134.89	126.79	134.72	413492	0	4
2024.09.03	134.73	137.17	128.89	129.36	77078	0	9
2024.09.04	128.92	134.76	121.91	133.97	98305	0	9
2024.09.05	133.96	135.27	127.63	129.42	86326	0	11
2024.09.06	129.41	134.18	120.30	124.55	93259	0	9
2024.09.07	124.56	129.32	124.05	126.76	39578	0	5
2024.09.08	126.76	131.35	126.31	129.26	58812	0	7
2024.09.09	129.26	136.70	126.57	134.34	107185	0	9
2024.09.10	134.35	137.79	132.25	135.86	110072	0	9
2024.09.11	135.85	136.00	128.03	132.52	106100	0	9
2024.09.12	132.52	136.66	131.64	136.28	72211	0	9
2024.09.13	136.29	139.79	131.46	139.39	89705	0	9
2024.09.14	139.39	139.80	135.49	137.15	52727	0	9
2024.09.15	137.13	137.91	130.87	131.83	70815	0	9
2024.09.16	131.77	132.25	128.66	130.65	81431	0	9
2024.09.17	130.64	135.37	129.75	131.65	59637	0	9
2024.09.18	131.64	132.81	126.70	130.87	65161	0	7
2024.09.19	130.88	143.95	130.88	142.51	71251	0	9
2024.09.20	142.51	152.05	140.67	147.09	86491	0	9
2024.09.21	147.09	149.25	144.48	148.47	39657	0	9
2024.09.22	148.47	149.81	140.50	145.34	41586	0	9
2024.09.23	145.34	148.89	141.72	144.39	73446	0	9
2024.09.24	144.39	153.64	142.91	153.06	77961	0	10
2024.09.25	153.07	153.66	148.10	149.00	82632	0	9
2024.09.26	149.00	157.87	146.35	156.25	105227	0	9
2024.09.27	156.24	161.13	153.40	157.97	105208	0	10
2024.09.28	157.99	159.25	154.89	156.61	73711	0	9
2024.09.29	156.60	161.29	154.84	158.87	64286	0	9
2024.09.30	158.85	159.57	153.35	154.31	87740	0	9
2024.10.01	154.31	157.26	141.61	144.49	107090	0	10
2024.10.02	144.49	148.70	138.18	141.46	99122	0	10
2024.10.03	141.43	142.82	132.85	136.82	79954	0	10
2024.10.04	136.81	143.77	135.75	142.82	2723108	0	11
2024.10.05	142.83	144.79	139.37	142.86	41132	0	9
2024.10.06	142.83	146.50	141.67	144.04	1010187	0	9
2024.10.07	144.34	150.86	144.04	145.36	8468876	0	14
2024.10.08	145.66	145.66	142.20	143.23	15129560	0	10
2024.10.09	143.08	143.46	140.50	140.50	979117	0	12
2024.10.10	140.80	140.80	136.31	138.16	1454566	0	12
2024.10.11	138.46	146.03	138.16	145.74	1776007	0	12
2024.10.12	145.74	147.18	144.32	146.97	52944	0	9
2024.10.13	146.96	148.24	144.27	148.22	803810	0	9
2024.10.14	147.92	156.90	146.30	154.46	6978854	0	15
2024.10.15	154.46	156.16	152.23	152.53	1047433	0	13
2024.10.16	152.23	155.84	152.23	154.06	1426344	0	14
2024.10.17	153.76	155.32	147.14	150.14	4818233	0	13
2024.10.18	150.44	154.29	149.26	154.26	2450239	0	9
2024.10.19	154.26	158.78	153.47	158.78	35569	0	9
2024.10.20	158.78	163.34	157.30	163.14	937572	0	9
2024.10.21	162.83	169.75	162.83	167.11	4154006	0	13
2024.10.22	167.13	169.47	163.96	167.92	1480574	0	5
2024.10.23	167.61	172.78	163.65	172.07	1222597	0	18
2024.10.24	172.07	178.85	170.54	178.27	436894	0	21
