<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.13	154.233	154.667	152.701	152.985	66509	0	3
2025.02.14	153.008	153.100	152.024	152.279	57189	0	2
2025.02.16	152.452	152.452	151.965	152.003	2078	0	1
2025.02.17	152.002	152.116	151.233	151.439	46144	0	1
2025.02.18	151.441	152.214	151.419	151.923	55065	0	2
2025.02.19	151.923	152.312	151.115	151.220	80328	0	1
2025.02.20	151.219	151.236	149.226	149.475	209763	0	7
2025.02.21	149.471	150.730	148.917	149.211	211135	0	7
2025.02.24	149.403	149.917	148.841	149.911	232075	0	7
2025.02.25	149.913	150.300	148.563	149.051	249930	0	7
2025.02.26	149.049	149.887	148.618	148.876	227443	0	7
2025.02.27	148.883	150.162	148.778	150.086	237169	0	7
2025.02.28	150.087	150.988	149.094	150.564	260474	0	7
2025.03.02	150.671	151.021	150.610	150.806	6821	0	8
2025.03.03	150.812	151.302	149.095	149.301	234711	0	7
2025.03.04	149.303	149.969	148.094	149.830	335361	0	7
2025.03.05	149.822	150.186	148.391	148.882	308053	0	7
2025.03.06	148.881	149.332	147.305	148.135	339522	0	7
2025.03.07	148.137	148.200	146.942	147.969	337553	0	7
2025.03.09	147.918	147.933	147.476	147.479	8203	0	8
2025.03.10	147.482	147.792	146.629	146.985	284925	0	7
2025.03.11	146.983	148.118	146.535	147.897	332036	0	7
2025.03.12	147.898	149.195	147.810	148.224	267348	0	7
2025.03.13	148.226	148.373	147.410	147.934	243675	0	7
2025.03.14	147.932	149.023	147.844	148.615	207146	0	7
2025.03.16	148.707	148.818	148.566	148.568	4437	0	8
2025.03.17	148.568	149.335	148.243	149.331	217798	0	7
2025.03.18	149.334	149.936	149.093	149.392	179918	0	3
2025.03.19	149.391	150.150	148.547	148.599	185358	0	3
2025.03.20	148.600	148.962	148.177	148.718	187912	0	3
2025.03.21	148.717	149.665	148.585	149.283	188592	0	3
2025.03.23	149.314	149.639	149.314	149.582	4102	0	4
2025.03.24	149.583	150.765	149.454	150.727	168889	0	3
2025.03.25	150.725	150.944	149.546	149.958	157987	0	3
2025.03.26	149.963	150.747	149.836	150.308	176856	0	3
2025.03.27	150.307	151.154	150.057	151.050	183622	0	3
2025.03.28	151.048	151.212	149.682	149.859	184010	0	3
2025.03.30	149.716	149.760	149.598	149.607	612	0	65
2025.03.31	149.625	150.269	148.702	149.869	232930	0	3
2025.04.01	149.894	150.143	148.972	149.634	211096	0	3
2025.04.02	149.634	150.489	148.150	148.415	228775	0	3
2025.04.03	148.415	148.415	145.179	145.634	343282	0	3
2025.04.04	145.634	147.434	144.545	146.896	413818	0	3
2025.04.06	145.395	145.685	144.988	145.165	18647	0	4
2025.04.07	145.167	148.151	144.809	147.889	470830	0	3
2025.04.08	147.888	148.122	145.900	145.983	386426	0	3
2025.04.09	145.977	148.288	143.993	147.412	461425	0	3
2025.04.10	147.417	147.716	143.979	144.086	410270	0	3
2025.04.11	144.093	144.234	142.061	143.570	407172	0	3
2025.04.13	143.872	144.062	143.504	143.660	12206	0	4
2025.04.14	143.654	144.084	142.225	143.108	310149	0	3
2025.04.15	143.112	143.596	142.587	143.059	271882	0	3
2025.04.16	143.060	143.286	141.640	141.838	291263	0	3
2025.04.17	141.836	143.088	141.608	142.334	269966	0	3
2025.04.18	142.254	142.528	142.039	142.145	207773	0	3
2025.04.20	142.031	142.113	141.636	141.736	6345	0	4
2025.04.21	141.731	141.770	140.465	140.737	216297	0	3
2025.04.22	140.741	143.218	139.880	143.011	252230	0	3
2025.04.23	143.012	143.576	141.531	143.118	290314	0	3
2025.04.24	143.120	143.343	142.275	142.719	223522	0	3
2025.04.25	142.717	144.031	142.694	143.739	221292	0	3
2025.04.27	143.495	143.878	143.405	143.775	5399	0	4
2025.04.28	143.772	143.899	141.913	142.221	201663	0	3
2025.04.29	142.225	142.761	141.966	142.262	213022	0	3
2025.04.30	142.259	143.189	142.159	143.018	225553	0	3
2025.05.01	143.021	145.736	142.875	145.332	217668	0	3
2025.05.02	145.329	145.922	143.724	144.856	248512	0	3
2025.05.04	144.690	144.996	144.637	144.760	5940	0	4
2025.05.05	144.763	144.865	143.536	143.744	181712	0	3
2025.05.06	143.741	144.278	142.324	143.243	188821	0	3
2025.05.07	143.243	143.999	142.742	143.884	203931	0	3
2025.05.08	143.886	146.177	143.442	145.827	212038	0	3
2025.05.09	145.832	146.191	144.822	145.375	170117	0	3
2025.05.11	146.114	146.200	145.769	145.839	8801	0	4
2025.05.12	145.842	148.647	145.695	148.365	253694	0	3
2025.05.13	148.361	148.459	147.303	147.348	197772	0	3
2025.05.14	147.347	147.671	145.601	146.616	217566	0	3
2025.05.15	146.614	146.752	145.409	145.468	207732	0	3
2025.05.16	145.471	146.104	144.916	145.633	174541	0	3
2025.05.18	145.290	145.439	145.005	145.163	7232	0	4
2025.05.19	145.159	145.454	144.655	144.949	200971	0	3
2025.05.20	144.952	145.509	144.086	144.419	182472	0	3
2025.05.21	144.417	144.445	143.277	144.098	231280	0	3
2025.05.22	144.095	144.333	142.800	143.811	229872	0	3
2025.05.23	143.806	144.019	142.419	142.570	218336	0	3
2025.05.25	142.412	143.084	142.390	142.787	8912	0	4
2025.05.26	142.786	143.038	142.221	142.684	119818	0	3
2025.05.27	142.689	144.462	142.115	144.179	192540	0	3
2025.05.28	144.180	145.080	143.847	144.900	203748	0	3
2025.05.29	144.899	146.286	143.868	144.015	237076	0	3
2025.05.30	144.013	144.447	143.438	144.052	221514	0	3
2025.06.01	143.742	143.987	143.713	143.844	5827	0	4
